LSOA11CD,LSOA11NM,LSOA21CD,LSOA21NM,LAD22CD,LAD22NM
E01000001,City of London 001A,E01000001,City of London 001A,E09000001,City of London
E01000002,City of London 001B,E01000002,City of London 001B,E09000001,City of London
E01000003,City of London 001C,E01000003,City of London 001C,E09000001,City of London
E01000005,City of London 001E,E01000005,City of London 001E,E09000001,City of London
E01032739,City of London 001F,E01032739,City of London 001F,E09000001,City of London
E01032740,City of London 001G,E01032740,City of London 001G,E09000001,City of London
E01000027,Barking and Dagenham 001A,E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham
E01000028,Barking and Dagenham 001B,E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham
E01000029,Barking and Dagenham 001C,E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham
E01000030,Barking and Dagenham 001D,E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham
E01000031,Barking and Dagenham 002A,E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham
E01000032,Barking and Dagenham 002B,E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham
E01000110,Barking and Dagenham 002C,E01000110,Barking and Dagenham 002C,E09000002,Barking and Dagenham
E01000111,Barking and Dagenham 002D,E01000111,Barking and Dagenham 002D,E09000002,Barking and Dagenham
E01000112,Barking and Dagenham 002E,E01000112,Barking and Dagenham 002E,E09000002,Barking and Dagenham
E01000113,Barking and Dagenham 002F,E01000113,Barking and Dagenham 002F,E09000002,Barking and Dagenham
E01000034,Barking and Dagenham 003A,E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham
E01000037,Barking and Dagenham 003B,E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham
E01000038,Barking and Dagenham 003C,E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham
E01000039,Barking and Dagenham 003D,E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham
E01000063,Barking and Dagenham 004A,E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham
E01000100,Barking and Dagenham 004B,E01000100,Barking and Dagenham 004B,E09000002,Barking and Dagenham
E01000101,Barking and Dagenham 004C,E01000101,Barking and Dagenham 004C,E09000002,Barking and Dagenham
E01000109,Barking and Dagenham 004D,E01034469,Barking and Dagenham 004F,E09000002,Barking and Dagenham
E01000109,Barking and Dagenham 004D,E01034470,Barking and Dagenham 004G,E09000002,Barking and Dagenham
E01000114,Barking and Dagenham 004E,E01000114,Barking and Dagenham 004E,E09000002,Barking and Dagenham
E01000033,Barking and Dagenham 006A,E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham
E01000060,Barking and Dagenham 006B,E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham
E01000061,Barking and Dagenham 006C,E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham
E01000062,Barking and Dagenham 006D,E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham
E01000064,Barking and Dagenham 006E,E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham
E01000065,Barking and Dagenham 007A,E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham
E01000078,Barking and Dagenham 007B,E01000078,Barking and Dagenham 007B,E09000002,Barking and Dagenham
E01000080,Barking and Dagenham 007C,E01000080,Barking and Dagenham 007C,E09000002,Barking and Dagenham
E01000081,Barking and Dagenham 007D,E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham
E01000082,Barking and Dagenham 007E,E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham
E01000083,Barking and Dagenham 007F,E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham
E01000102,Barking and Dagenham 007G,E01000102,Barking and Dagenham 007G,E09000002,Barking and Dagenham
E01000021,Barking and Dagenham 008A,E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham
E01000022,Barking and Dagenham 008B,E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham
E01000023,Barking and Dagenham 008C,E01034472,Barking and Dagenham 008H,E09000002,Barking and Dagenham
E01000023,Barking and Dagenham 008C,E01034471,Barking and Dagenham 008G,E09000002,Barking and Dagenham
E01000024,Barking and Dagenham 008D,E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham
E01000025,Barking and Dagenham 008E,E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham
E01000077,Barking and Dagenham 008F,E01000077,Barking and Dagenham 008F,E09000002,Barking and Dagenham
E01000015,Barking and Dagenham 009A,E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham
E01000016,Barking and Dagenham 009B,E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham
E01000017,Barking and Dagenham 009C,E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham
E01000018,Barking and Dagenham 009D,E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham
E01000079,Barking and Dagenham 009E,E01000079,Barking and Dagenham 009E,E09000002,Barking and Dagenham
