LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,2022
E09000001,City of London,E01000001,City of London 001A,1721
E09000001,City of London,E01000002,City of London 001B,1608
E09000001,City of London,E01000003,City of London 001C,1826
E09000001,City of London,E01000005,City of London 001E,1605
E09000001,City of London,E01032739,City of London 001F,2376
E09000001,City of London,E01032740,City of London 001G,1711
E09000002,Barking and Dagenham,E01000006,Barking and Dagenham 016A,1833
E09000002,Barking and Dagenham,E01000007,Barking and Dagenham 015A,2957
E09000002,Barking and Dagenham,E01000008,Barking and Dagenham 015B,1757
E09000002,Barking and Dagenham,E01000009,Barking and Dagenham 016B,1859
E09000002,Barking and Dagenham,E01000011,Barking and Dagenham 016C,1708
E09000002,Barking and Dagenham,E01000012,Barking and Dagenham 015D,2335
E09000002,Barking and Dagenham,E01000013,Barking and Dagenham 013A,1866
E09000002,Barking and Dagenham,E01000014,Barking and Dagenham 013B,1776
E09000002,Barking and Dagenham,E01000015,Barking and Dagenham 009A,2358
E09000002,Barking and Dagenham,E01000016,Barking and Dagenham 009B,1841
E09000002,Barking and Dagenham,E01000017,Barking and Dagenham 009C,1731
E09000002,Barking and Dagenham,E01000018,Barking and Dagenham 009D,1758
E09000002,Barking and Dagenham,E01000019,Barking and Dagenham 023A,1646
E09000002,Barking and Dagenham,E01000020,Barking and Dagenham 023B,2200
E09000002,Barking and Dagenham,E01000021,Barking and Dagenham 008A,1697
E09000002,Barking and Dagenham,E01000022,Barking and Dagenham 008B,1449
E09000002,Barking and Dagenham,E01000024,Barking and Dagenham 008D,1501
E09000002,Barking and Dagenham,E01000025,Barking and Dagenham 008E,1912
E09000002,Barking and Dagenham,E01000027,Barking and Dagenham 001A,2095
E09000002,Barking and Dagenham,E01000028,Barking and Dagenham 001B,1808
E09000002,Barking and Dagenham,E01000029,Barking and Dagenham 001C,1940
E09000002,Barking and Dagenham,E01000030,Barking and Dagenham 001D,2541
E09000002,Barking and Dagenham,E01000031,Barking and Dagenham 002A,1815
E09000002,Barking and Dagenham,E01000032,Barking and Dagenham 002B,2076
E09000002,Barking and Dagenham,E01000033,Barking and Dagenham 006A,1528
E09000002,Barking and Dagenham,E01000034,Barking and Dagenham 003A,1642
E09000002,Barking and Dagenham,E01000035,Barking and Dagenham 010A,1868
E09000002,Barking and Dagenham,E01000036,Barking and Dagenham 010B,1437
E09000002,Barking and Dagenham,E01000037,Barking and Dagenham 003B,1731
E09000002,Barking and Dagenham,E01000038,Barking and Dagenham 003C,1655
E09000002,Barking and Dagenham,E01000039,Barking and Dagenham 003D,1842
E09000002,Barking and Dagenham,E01000040,Barking and Dagenham 019A,1834
E09000002,Barking and Dagenham,E01000041,Barking and Dagenham 017A,1786
E09000002,Barking and Dagenham,E01000042,Barking and Dagenham 017B,1901
E09000002,Barking and Dagenham,E01000043,Barking and Dagenham 019B,1566
E09000002,Barking and Dagenham,E01000044,Barking and Dagenham 016D,1978
E09000002,Barking and Dagenham,E01000045,Barking and Dagenham 017C,1689
E09000002,Barking and Dagenham,E01000046,Barking and Dagenham 017D,1922
E09000002,Barking and Dagenham,E01000049,Barking and Dagenham 021C,1703
E09000002,Barking and Dagenham,E01000050,Barking and Dagenham 019C,1871
E09000002,Barking and Dagenham,E01000051,Barking and Dagenham 021D,1116
E09000002,Barking and Dagenham,E01000052,Barking and Dagenham 019D,2449
E09000002,Barking and Dagenham,E01000053,Barking and Dagenham 020A,1665
E09000002,Barking and Dagenham,E01000054,Barking and Dagenham 018A,1837
E09000002,Barking and Dagenham,E01000055,Barking and Dagenham 018B,1594
E09000002,Barking and Dagenham,E01000056,Barking and Dagenham 018C,1662
E09000002,Barking and Dagenham,E01000057,Barking and Dagenham 012A,1604
E09000002,Barking and Dagenham,E01000058,Barking and Dagenham 018D,2159
E09000002,Barking and Dagenham,E01000059,Barking and Dagenham 013C,1701
E09000002,Barking and Dagenham,E01000060,Barking and Dagenham 006B,2185
E09000002,Barking and Dagenham,E01000061,Barking and Dagenham 006C,1959
E09000002,Barking and Dagenham,E01000062,Barking and Dagenham 006D,2209
E09000002,Barking and Dagenham,E01000063,Barking and Dagenham 004A,1747
E09000002,Barking and Dagenham,E01000064,Barking and Dagenham 006E,2291
